tiempo_ms,tiempo_s,temperatura_c,temperatura_k,presion_hpa,densidad_kg_m3,altitud_estimada_m
0,0.0,20.64,293.78999999999996,1019.74,1.2091909683677464,-53.865638469762764
157,0.157,20.64,293.78999999999996,1019.72,1.2091672526957442,-53.700069654420325
291,0.291,20.64,293.78999999999996,1019.72,1.2091672526957442,-53.700069654420325
425,0.425,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
560,0.56,20.64,293.78999999999996,1019.74,1.2091909683677464,-53.865638469762764
694,0.694,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
828,0.828,20.64,293.78999999999996,1019.73,1.2091791105317453,-53.78285439079739
962,0.962,20.64,293.78999999999996,1019.73,1.2091791105317453,-53.78285439079739
1096,1.096,20.63,293.78,1019.72,1.2092084116327955,-53.700069654420325
1233,1.233,20.63,293.78,1019.78,1.2092795610705804,-54.19676821162536
1367,1.367,20.63,293.78,1019.74,1.209232128112057,-53.865638469762764
1502,1.502,20.64,293.78999999999996,1019.74,1.2091909683677464,-53.865638469762764
1636,1.636,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
1771,1.771,20.64,293.78999999999996,1019.72,1.2091672526957442,-53.700069654420325
1905,1.905,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
2039,2.039,20.64,293.78999999999996,1019.71,1.2091553948597433,-53.61728426061187
2173,2.173,20.65,293.79999999999995,1019.75,1.2091616688577227,-53.94842189130659
2318,2.318,20.65,293.79999999999995,1019.75,1.2091616688577227,-53.94842189130659
2452,2.452,20.65,293.79999999999995,1019.75,1.2091616688577227,-53.94842189130659
2586,2.586,20.65,293.79999999999995,1019.75,1.2091616688577227,-53.94842189130659
2720,2.72,20.65,293.79999999999995,1019.75,1.2091616688577227,-53.94842189130659
2854,2.854,20.64,293.78999999999996,1019.77,1.2092265418757493,-54.113986762228045
2989,2.989,20.64,293.78999999999996,1019.74,1.2091909683677464,-53.865638469762764
3124,3.124,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
3258,3.258,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
3395,3.395,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
3529,3.529,20.64,293.78999999999996,1019.74,1.2091909683677464,-53.865638469762764
3663,3.663,20.64,293.78999999999996,1019.73,1.2091791105317453,-53.78285439079739
3834,3.834,20.65,293.79999999999995,1019.76,1.2091735262901213,-54.031204655468244
3968,3.968,20.65,293.79999999999995,1019.73,1.2091379539929252,-53.78285439079739
4103,4.103,20.66,293.81,1019.73,1.2090968002556803,-53.78285439079739
4237,4.237,20.66,293.81,1019.75,1.209120514313328,-53.94842189130659
4371,4.371,20.66,293.81,1019.76,1.2091323713421518,-54.031204655468244
4515,4.515,20.66,293.81,1019.77,1.2091442283709757,-54.113986762228045
4649,4.649,20.66,293.81,1019.75,1.209120514313328,-53.94842189130659
4785,4.785,20.67,293.82,1019.76,1.2090912191955538,-54.031204655468244
4919,4.919,20.67,293.82,1019.75,1.2090793625702774,-53.94842189130659
5053,5.053,20.67,293.82,1019.74,1.209067505945001,-53.865638469762764
5195,5.195,20.67,293.82,1019.74,1.209067505945001,-53.865638469762764
5338,5.338,20.67,293.82,1019.75,1.2090793625702774,-53.94842189130659
5479,5.479,20.67,293.82,1019.75,1.2090793625702774,-53.94842189130659
5621,5.621,20.67,293.82,1019.72,1.2090437926944477,-53.700069654420325
5764,5.764,20.67,293.82,1019.72,1.2090437926944477,-53.700069654420325
5906,5.906,20.67,293.82,1019.73,1.2090556493197242,-53.78285439079739
6048,6.048,20.67,293.82,1019.74,1.209067505945001,-53.865638469762764
6191,6.191,20.67,293.82,1019.74,1.209067505945001,-53.865638469762764
6332,6.332,20.67,293.82,1019.75,1.2090793625702774,-53.94842189130659
6474,6.474,20.67,293.82,1019.73,1.2090556493197242,-53.78285439079739
6617,6.617,20.67,293.82,1019.72,1.2090437926944477,-53.700069654420325
6798,6.798,20.67,293.82,1019.72,1.2090437926944477,-53.700069654420325
6940,6.94,20.67,293.82,1019.76,1.2090912191955538,-54.031204655468244
7082,7.082,20.66,293.81,1019.76,1.2091323713421518,-54.031204655468244
7225,7.225,20.66,293.81,1019.76,1.2091323713421518,-54.031204655468244
7366,7.366,20.66,293.81,1019.74,1.209108657284504,-53.865638469762764
7508,7.508,20.66,293.81,1019.75,1.209120514313328,-53.94842189130659
7651,7.651,20.65,293.79999999999995,1019.76,1.2091735262901213,-54.031204655468244
7793,7.793,20.65,293.79999999999995,1019.76,1.2091735262901213,-54.031204655468244
7935,7.935,20.65,293.79999999999995,1019.78,1.2091972411549188,-54.19676821162536
8078,8.078,20.64,293.78999999999996,1019.74,1.2091909683677464,-53.865638469762764
8219,8.219,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
8361,8.361,20.64,293.78999999999996,1019.73,1.2091791105317453,-53.78285439079739
8504,8.504,20.64,293.78999999999996,1019.74,1.2091909683677464,-53.865638469762764
8646,8.646,20.65,293.79999999999995,1019.74,1.2091498114253239,-53.865638469762764
8788,8.788,20.65,293.79999999999995,1019.73,1.2091379539929252,-53.78285439079739
8933,8.933,20.65,293.79999999999995,1019.73,1.2091379539929252,-53.78285439079739
9075,9.075,20.65,293.79999999999995,1019.75,1.2091616688577227,-53.94842189130659
9217,9.217,20.65,293.79999999999995,1019.74,1.2091498114253239,-53.865638469762764
9360,9.36,20.65,293.79999999999995,1019.74,1.2091498114253239,-53.865638469762764
9501,9.501,20.65,293.79999999999995,1019.77,1.2091853837225202,-54.113986762228045
9643,9.643,20.65,293.79999999999995,1019.76,1.2091735262901213,-54.031204655468244
9786,9.786,20.65,293.79999999999995,1019.73,1.2091379539929252,-53.78285439079739
9928,9.928,20.65,293.79999999999995,1019.75,1.2091616688577227,-53.94842189130659
10070,10.07,20.65,293.79999999999995,1019.72,1.2091260965605266,-53.700069654420325
10213,10.213,20.65,293.79999999999995,1019.75,1.2091616688577227,-53.94842189130659
10354,10.354,20.65,293.79999999999995,1019.74,1.2091498114253239,-53.865638469762764
10496,10.496,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
10639,10.639,20.65,293.79999999999995,1019.74,1.2091498114253239,-53.865638469762764
10781,10.781,20.65,293.79999999999995,1019.75,1.2091616688577227,-53.94842189130659
10923,10.923,20.65,293.79999999999995,1019.74,1.2091498114253239,-53.865638469762764
11066,11.066,20.65,293.79999999999995,1019.74,1.2091498114253239,-53.865638469762764
11210,11.21,20.65,293.79999999999995,1019.76,1.2091735262901213,-54.031204655468244
11353,11.353,20.64,293.78999999999996,1019.73,1.2091791105317453,-53.78285439079739
11495,11.495,20.65,293.79999999999995,1019.76,1.2091735262901213,-54.031204655468244
11637,11.637,20.64,293.78999999999996,1019.73,1.2091791105317453,-53.78285439079739
11778,11.778,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
11921,11.921,20.64,293.78999999999996,1019.74,1.2091909683677464,-53.865638469762764
12063,12.063,20.64,293.78999999999996,1019.76,1.2092146840397484,-54.031204655468244
12205,12.205,20.65,293.79999999999995,1019.77,1.2091853837225202,-54.113986762228045
12348,12.348,20.65,293.79999999999995,1019.77,1.2091853837225202,-54.113986762228045
12490,12.49,20.65,293.79999999999995,1019.76,1.2091735262901213,-54.031204655468244
12631,12.631,20.65,293.79999999999995,1019.79,1.2092090985873174,-54.2795490036602
12804,12.804,20.64,293.78999999999996,1019.78,1.2092383997117504,-54.19676821162536
12946,12.946,20.64,293.78999999999996,1019.79,1.2092502575477515,-54.2795490036602
13088,13.088,20.64,293.78999999999996,1019.74,1.2091909683677464,-53.865638469762764
13229,13.229,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
13375,13.375,20.64,293.78999999999996,1019.77,1.2092265418757493,-54.113986762228045
13517,13.517,20.64,293.78999999999996,1019.77,1.2092265418757493,-54.113986762228045
13659,13.659,20.64,293.78999999999996,1019.78,1.2092383997117504,-54.19676821162536
13801,13.801,20.64,293.78999999999996,1019.76,1.2092146840397484,-54.031204655468244
13943,13.943,20.64,293.78999999999996,1019.76,1.2092146840397484,-54.031204655468244
14086,14.086,20.64,293.78999999999996,1019.75,1.2092028262037473,-53.94842189130659
14228,14.228,20.63,293.78,1019.75,1.209243986351688,-53.94842189130659
14370,14.37,20.63,293.78,1019.74,1.209232128112057,-53.865638469762764
14512,14.512,20.62,293.77,1019.77,1.2093088665884073,-54.113986762228045
14654,14.654,20.62,293.77,1019.8,1.2093444425182716,-54.362329138342396
14826,14.826,20.62,293.77,1019.76,1.209297007945119,-54.031204655468244
14968,14.968,20.61,293.76,1019.76,1.2093381741014353,-54.031204655468244
15110,15.11,20.61,293.76,1019.77,1.209350033148408,-54.113986762228045
15252,15.252,20.61,293.76,1019.72,1.2092907379135438,-53.700069654420325
15394,15.394,20.62,293.77,1019.77,1.2093088665884073,-54.113986762228045
15537,15.537,20.62,293.77,1019.78,1.2093207252316953,-54.19676821162536
15681,15.681,20.62,293.77,1019.75,1.209285149301831,-53.94842189130659
15823,15.823,20.61,293.76,1019.75,1.2093263150544624,-53.94842189130659
15966,15.966,20.62,293.77,1019.74,1.209273290658543,-53.865638469762764
