tiempo_ms,temperatura_c,presion_hpa,densidad_kg_m3
0,20.64,1019.74,1.2091909683677464
6940,20.67,1019.76,1.2090912191955538
14086,20.64,1019.75,1.2092028262037473
21229,20.59,1019.77,1.2094323746771851
28403,20.42,1019.79,1.2101564640969915
35616,20.67,1019.74,1.209067505945001
42884,20.53,1019.78,1.2096913288317732
50043,20.5,1019.77,1.2098030503581692
57277,20.77,1019.71,1.2086205887855335
64510,21.08,1019.74,1.2073827094339808
71748,21.62,1019.75,1.205182679073172
78986,22.48,1019.75,1.2016767523945435
86189,22.22,1019.77,1.202758119435543
93420,21.93,1019.85,1.204034619244904
100655,21.34,1019.77,1.2063522215955598
107896,20.98,1019.78,1.2078405788301605
115069,20.78,1019.78,1.2086624347678534
122306,20.58,1019.81,1.2095209906793019
129547,20.56,1019.79,1.2095796301282007
136788,20.23,1019.78,1.2109283163518818
144025,20.17,1019.81,1.2112116480029704
151230,20.04,1019.81,1.2117486974052023
158472,19.95,1019.78,1.2120851226588711
165712,20.03,1019.81,1.2117900286248426
172987,19.91,1019.81,1.2122862232724743
180225,19.81,1019.79,1.2126762464669372
187442,20.0,1019.78,1.2118783880310935
194768,21.92,1019.85,1.2040754242952054
202017,20.91,1019.8,1.208151795139062
209273,20.61,1019.8,1.2093856102893266
216492,20.47,1019.8,1.2099622535201708
223742,20.93,1019.79,1.208057784157215
230994,21.26,1019.85,1.2067746864807116
238252,20.9,1019.78,1.2081691870474924
245469,20.62,1019.84,1.2093918770914238
252682,20.25,1019.83,1.2109051398074602
259932,20.09,1019.82,1.2115539636675423
267195,20.06,1019.83,1.2116898060076695
274449,20.05,1019.84,1.2117430140966834
281701,20.07,1019.81,1.2116247206610442
288926,19.94,1019.79,1.2121383642053767
296180,19.73,1019.78,1.2129955935923078
303436,19.4,1019.81,1.2143995918380837
310726,19.42,1019.82,1.2143284831181258
317953,19.44,1019.82,1.2142454776508769
325209,19.26,1019.83,1.2150048494220747
332464,19.2,1019.84,1.2152661253057895
336976,19.11,1018.8,1.2144006895049568
344554,18.74,1019.88,1.217229047201694
351829,18.5,1019.75,1.2180754270886298
359074,18.34,1019.79,1.218791839050924
366318,18.12,1019.83,1.2197602500068967
373610,18.01,1019.81,1.2201971444986652
380895,18.06,1019.82,1.2199996027123727
388183,18.04,1019.85,1.2201192879109388
395446,17.93,1019.83,1.2205564381596428
402731,17.98,1019.82,1.2203348480262084
410028,17.94,1019.92,1.2206222180159314
417324,18.01,1019.89,1.220292864065604
424634,18.05,1019.9,1.2201372047217718
431898,18.01,1019.89,1.220292864065604
439195,18.06,1019.9,1.2200953058445108
446676,18.11,1019.84,1.2198140895871301
454176,18.12,1019.88,1.2198200521430373
461626,18.2,1019.88,1.2194851092764802
469045,18.25,1019.89,1.2192878184671971
476431,18.22,1019.89,1.2194133586207956
483852,18.2,1019.84,1.2194372807041276
491277,18.09,1019.82,1.2198739332024107
498666,18.09,1019.84,1.2198978565209022
506105,18.06,1019.85,1.2200354913869245
513502,17.98,1019.83,1.2203468142050244
520939,18.01,1019.83,1.2202210743903998
528376,17.93,1019.85,1.2205803746282338
535827,17.92,1019.82,1.220586402947298
543269,18.0,1019.81,1.2202390540691441
550673,18.0,1019.8,1.220227088712322
558120,18.02,1019.84,1.22019113141171
565579,18.08,1019.82,1.219915820162312
572996,18.13,1019.83,1.219718374140033
580415,18.18,1019.82,1.2194970799638558
587919,18.18,1019.85,1.219532953855718
595379,18.21,1019.8,1.2193476004894035
602844,18.25,1019.84,1.2192280430101152
610344,18.26,1019.82,1.2191622947251983
617784,18.27,1019.83,1.2191324137653863
625253,18.24,1019.84,1.2192698848043773
629873,18.12,1019.31,1.2191383077910338
637347,17.95,1019.78,1.2204127428763831
644796,17.96,1019.79,1.2203827871421589
652274,18.03,1019.78,1.220077441621386
659756,18.15,1019.79,1.2195867942497558
667239,18.83,1019.73,1.2166748780160335
674733,18.58,1019.84,1.2178488730440735
682184,18.23,1019.88,1.2193595531186165
689640,18.25,1019.84,1.2192280430101152
697132,18.3,1019.87,1.2190547362294175
704630,18.29,1019.87,1.219096564898654
712091,18.28,1019.89,1.2191623041599742
719592,18.34,1019.86,1.2188754988521906
727094,18.35,1019.86,1.2188336849414239
734760,18.4,1019.87,1.2186366073540174
742452,18.4,1019.87,1.2186366073540174
750062,18.38,1019.87,1.218720210180989
757649,18.34,1019.85,1.2188635474520098
765264,18.3,1019.89,1.2190786423103146
772886,18.28,1019.85,1.2191144887169691
780502,18.25,1019.84,1.2192280430101152
788098,18.28,1019.82,1.2190786271347154
795725,18.22,1019.8,1.2193057517197807
803357,18.19,1019.84,1.219479136861219
810987,18.14,1019.83,1.2196765011483706
818630,18.09,1019.81,1.219861971543165
826231,18.09,1019.81,1.219861971543165
833832,18.08,1019.81,1.2199038580923371
841483,18.16,1019.81,1.2195688462195988
849126,18.09,1019.83,1.2198858948616564
856773,18.03,1019.86,1.220173154613727
864376,18.01,1019.83,1.2202210743903998
872037,18.02,1019.81,1.2201552378068872
879726,18.0,1019.81,1.2202390540691441
887382,17.99,1019.81,1.2202809665186212
895038,17.99,1019.83,1.220304898054231
